"label","text"
0,"pradidaaaaas cepet pulang donk!!!!!  http://plurk.com/p/11mos0"
0,"Why is @selenagomez only nominated for ONE TCA?! She deserves more!! Including nominations for WOWP and Another Cinderella Story! "
4,"At Cobb Energy Centre, 10 mins before show time- Cirque Imagination-Montage, I love all of they're shows  Should be good."
4,"@chelseanicola hi how r u , ur dad is so cool ,hope we will be friends "
4,"watching american dad.  "
0,"Just woke up and realized since my mom is away that means no one folded my clothes from the dryer  wow I'm so spoiled"
0,"@LuLu_Bell Thank you! I don't think so, though "
4,"Outside enjoying the weather with a good book and a yummy beer "
4,"I just CAN'T get &quot;Love Story&quot; by Taylor Swift out of my head!!  It's just so damn catchy! "
4,"G'morning and Happy Hump Day!! The week seems to be FLYING by!! "
0,"has just woken up and goes straight on my laptop.... :\... has a headache, and my throat is killing me!! "
0,"The Cat's tail is worse. New painful spot at base of tail which is now starting to drag on floor. Call vet now or wait until Mon? "
4,"i just made him another video and when i tell you hes gonna lose his mind i mean hes gonna flip his shit!!! i'm the bomb, u aint know?!!? "
0,"Cant wait to chill with my girls after school!!! Im going to miss them "
0,"Bad news: the tarp is back on     we're back to a rain delay #reds"
0,"I congratulated M&amp;D for making appt's for annual physicals, now they're making one for me...seems fate is not without a sense of irony "
4,"beach...yummy steak and catching up on 'lost' with my man...lovely day "
0,"just woke up and misses you. "
0,"Torres not in squad thanks to injury "
4,"@Glompbot for some reason rhubarb put images of PIE in my mind.  You are eating the healthy version  "
4,"@DeadlyJuliet It MEANS NOTHING if they go in sep cars. They are smart and don't want 464647347 pap pics.  Rob prob does that to protect K "
0,"has to sell her horse "
0,"Now I found a bug in FMLE and unfortunately I have no direct line to its programmers. Will have to go through Adobe's helpdesk "
0,"@angelroxy I'm pretty alright thanks but being lazy  how's you?"
4,"on our way home "
0,"@joeyismusic dood, FTFD's new album leaked, a friend of mine told me "
0,"waitin on food, im starvin "
4,"going to Asianos with Jake a little later! "
0,"Still very happy cos i met miiiiin! LOL. AND I AM A VERY SMALL KID NOW. "
0,"Heading to bed... don't wanna get up early tomorrow... "
0,"Ah crap, work is becoming more difficult. Nethack and TV off to the side now "
4,"just had my big birthday wkend!!! recovering is tough  hmmmmmmm glass of wine 4 me x"
4,"@Lindsey_ And I'll keep recommending it to you. "
4,"@DavidArchie Aww! I wanted to go with you. Hope you have a good time "
0,"what up my young twitter friends!! Happy June 1st!. Wait, why am I excited. this just means I'm getting older this month "
4,"@lizzie123x yeah just youu ask them and then print screen youu asking theemm  x"
0,"next year "
4,"@DonnieWahlberg I think everything happens 4 a reason; all u can do is learn from your mistakes, change your strategy, and roll with it! "
4,"Tickets for The Sword have been purchased "
4,"@prophpeezy AH! I forgot! I'm all thrown.. we've been chillin out at the in-laws while they are on vaca. I'm sorry, i'll call tonight "
4,"@taylormcfly aww lol! why was he been mean to you? ayee we should..today #danny jones day.. tomorrow.. #dougie poynter day "
4,"Just kickin it, watching the weather channel. "
0,"Just got done hanging out with Kel. I missed my cousin "
0,"@LilCease im still up....cant sleep "
4,"goodnight twitter buds  day26 in my ear rockin me to sleep (love my boys)"
4,"@NickWilson have you seen this list of Science places? http://bit.ly/slscience link there to SLHealthy wiki as well "
0,"@imobDeveloper how can u get the redeem codes to work after you've reset your Acc lost chainsaws &amp; pepper sprays, tasers "
0,"@DougCoupland Where have you been for the last year or so? I missed your &quot;web presence&quot; "
4,"back from the pool "
4,"@trvsbrkr cant wait to see u on 9/2 "
4,"@Amyoleary1 You're always loooking for distractions!  Have a good shift.  "
4,"@ashleytisdale goood luck! i voted for you "
4,"good morning to you "
0,"@charmcitygavin my store does not open up until 9 am "
0,"@TomDavenport big brothers picking on the hippies again "
0,"is not excited to go to the dentist "
4,"@TheJourneyAgent Hey, nice seeing you on Saturday. Glad things are going well for you. "
4,"Mondays at the office  http://twitpic.com/6fgmp"
4,"@deewalk I agree completely "
0,"@danielmkennedyx that metabolism thing i had before has came back...but 10 times worse  x"
4,"@unitechy You are in the oCricket Hacker House. What did you expect? "
0,"@ahj damn! we have no storms at all  I love a good thunder storm."
0,"@unahealy not very summery today tho is it?  What you gonna wear?"
0,"The wheater is  Just 2 more weeks! And then i will be 21  Finally ;) haha"
0,"@Caveat__Emptor Nah, not happening due to $$$. Same reason I will have to skip @DreamasaurusRex's party "
0,"@justdanella a girlie sorry about the kitty  "
0,"is fed u with work "
0,"I want to sleep!!! Okay ... Back to work "
4,"@markpank either that or i should rethink my wording. "
4,"i really love this show it makes me feel happy  even tho it makes me cry haha! its nice to see that there are good people out there ."
4,"saw land of the lost....and laughed my butt off! "
0,"I promised myself I'd stop listening to Nothing Personal leaks. Why did I have to break that promise? "
0,"@Onenn  Clean Me!"
0,"I wanna go see The Hangover tonight, but I don't wanna go alone and I don't wanna go in this rain "
4,"@foxxhole NO! it does not. Because you always test the water before you jump in  "
4,"I keep seeing twitter commercials. Hahahaa.  I need to get home so i can do chores and laundry. Ughh."
4,"@mileycyrus i voted for you mileyyy "
4,"@maikeru76 it is just getting later as I get more tired here-I HAVE SUCH A HEADACHE-thank God for sleep time coming!!  "
0,"@billhilton Nope, it's definitely not just you - and mine sometimes lasts longer than 2 days "
4,"@mrsjoejonas333 i agree  totally and %100.  its amazing."
0,"My temp job is keeping me from freelancing @ Souk! "
4,"Just watched the new moon trailer.. Well 15 seconds of it anyways.. La Push looked nice Ahaaa.    (and Rpatz&lt;3)"
4,"and Kai Straw needs to come out with some new songs :/ I've been waiiiting.  Eminem will hold me over tho "
0,"@susanahG he not doing 2 good "
0,"@abcaryndef  Oh, that's not good. Have some water."
4,"I just got finished cleaning my kitchen. Oh, it's almost 2 in the morning, you say? Yeah, i already knew that. "
4,"@GratianB SENDDDDDDDDDD!!!! HAHAHAHA! =D How you wanna send it? "
0,"@gloomyle I wonder how much the 3gs would cost me with that deal. Probably close to a grand  Oh well i can upgrade from December 18th!!!"
0,"Feels old as I think I officially need coffee to wake up in the morning "
0,"@aldrocks ahh I miss joe lol. he's supposed to come back before or after all star break. they don't know if there is room for him tho "
4,"@blueandbrady Aren't you glad I downloaded that cd? Oh, and I found that notebook. "
4,"UP in 3D is totally recommended  it was so sweet."
4,"@HeyMegan Yes, sometimes it is too much to ask for one weekend  maybe lower your asking price to a few hours between 2-5 Sunday"
4,"@sweetaholic well, you know, i do try "
4,"@mzdimples9008 if you like 2 laugh..have a good time..follow me..its just that simple "
0,"just feel upset  sigh...."
0,"Afternoon all, took boys swimming this morning, my lovely pink hair has gone all yellow "
0,"@dylan_indigo no  i didnt get your earlir tweet. Cassie just told me about it."
4,"Rox woke up and wanted to play, so we danced. Daddy was the prince, Mama was the queen and Rox was the princess, of course. Life is sweet "
0,"i has a bugbite on my foot  stupid Concord Scout House, GET SCREEN DOORS PLZTHXXXXXX!"
0," last days... 5... tick tick 4... tick tick 3..  and the tick tick goes on..!!"
0,"@_misshannah damn you !!!  that's properly unfair!"
0,"where's mike in all the cash cash pictures? "
4,"@doktorb come then  at which bit. london or the train spotting opportunity?"
0,"I dont want to go to school!!  http://tumblr.com/xqp23vl2k"
4,"The first time on twitter "
0,"@DTChick "
4,"@herojaejoong wahh..i've been waiting for &quot;heaven's postman&quot;..i'm hoping to watch it sooner  tc"
0,"can't wear that jacket "
4,"@tommcfly http://twitpic.com/6g55n - this one. "
4,"Wonderful day. "
4,"@ch_goodwin I scream, you scream, we all scream for iScream "
4,"@nickiminaj your so talented! and beautiful! I'm a big fan.. Beam me up! "
4,"@aniadesigns what, no coffee at your picnic? *gasp* "
4,"Havin a drink, spending time with a friend  Wishing i can figure out some way to make it to my concert."
0,"@deafblind Dude, I'm not done yet. You should see the amount of cake I have left. "
0,"hungry  ...i forgot my lunch today.."
4,"Up is an awesome movie!! Go see it "
0,"i dont wanna go to work in 5 hours "
0,"@erin82883 NO  #petewentzday #petewentzday #petewentzday #petewentzday #petewentzday"
0,"@BrodyJenner brodyy I see your writing to some fans! Never me though  sad..."
4,"@kimoraklein as per @JaylaStarr I'm following u hope u as fun as she is "
0,"@dianeburnett Love my Godzilla Browser. Does she have the Rhodan plugin installed? Always crashes mine "
4,"had a brilliant time at the auto test yesterday  but i came 9th out of 10!! haha im nt very good at driving fast!!"
4,"exhausted from work and going out...you party you pay "
4,"reading outside  + Bones was aaaawesome!"
4,"@natalieposhmom : Thanks for the add! "
0,"@faye_tan OH i clicked on the &quot;reply to&quot; your Transformers review twittymajiggy, mana tau it replied to you in general. Omg lost "
4,"Goodnight...finally! "
4,"@MelJennings needs a nap?! How lazy! Look at you on twitter! "
0,"@punkpolkadots Lol! My throwing range doesn't extend to 1000 miles "
4,"@athugspassion LOL thank you! it is in fact my bday. "
0,"FML...i just want to go home "
4,"@jodieharsh No Darling, your gap is part of u... so to speak "
4,"Thanks for the #FF rec.   @IndyEnigma @SSISBI @CaTaxRevolt @TPO_Hisself @NCpeach @elocio @schnoepoe @tmjobrequest"
4,"first official tweet from Jewel for me. I MISS YOU @mileycyrus !! Love you lotss! "
0,"my computer is stuffed up  and i can't fix it D:"
4,"@JimPap I slept like a log. Always sleep better when the team I want to win wins "
0,"@sfitzpatrick924 bahah sadly I am not "
4,"@brandeeg i wanna go to Grandma Trace's! "
0,"I hurt all over. I have pretty bad sunburn on my back, shoulders, chest and the back of my legs "
0,"@GMMR Oh NO, I don't like hearing the John Krasinski is a smoker  not cool John."
0,"@OfficialBB bb live feed fails  Really disappointing. Only got a generic reply from Channel 4. Poor."
0,"re-doing Redbrick online designs is fun when Photoshop decides to perform an illegal operation and close loosing an hours work "
4,"@kimarycarrero read my direct message  loove ya"
4,"Off to get a shower and then off to he hamfest. Have a cool view of the airplanes at Hartsfield Jackson landing. "
0,"have to go  byeeeee"
4,"@SissyHand lol hell yeah! he's the one that remembered me "
0,"First time in years that i've not actually been at Silverstone for the GP  . Still, I'm sure I'll be there next year. #F1"
0,"@tehnakki Wait, why can't you talk? "
0,"Take a fucking hint already "
4,"I think it's time for bed. It's a new day tomorrow, lots of sun! "
4,"Oh I just want to say hi 2 Archie though he's not following me, haha... btw hi 2 all ArchAngel fanatics ol ovr d world! LoL! "
0,"@XXsavannahRAWRR UGH I was gonna tan today too. "
4,"@cosimo179 Sounds cool. "
0,"sitting up playing guitar thinking about you, cuddling with love-a-lot bear every so often.  Miss you so much "
0,"Just woke up. Still in bed "
4,"@FionaKyle I thought it was pretty funny. "
4,"@tommcfly Tooom, can I call your room now? I'll respect if you dont wanna.. But is just some short words "
0,"feels tired and used... "
0,"Good party last night. Played some footie and frisbee, had a good aul chat ;) too bad he didn't stay long though "
4,"is gonna try 2 have a great weekend.. @isasmama when are you guys coming down, we can go swiming.. ashers is looking for Isa.. "
4,"has sunshine and a day to himself....Fantastic  need to cut the grass now"
0,"My Great Uncle died today. its sad because now my Grandfather and all his brothers and sisters have died, its the end of a generation "
0,"is it stupid that i am sat here crying cause i am not gonna see Take That ? "
0,"@toodamnninja @urbanfly hope neither of you live in Handsworth... ground zero for piggy flu apparently "
0,"Im trying to stay awake at work. listening to this girl complain about her life Uhhgg. she talks to much. and my boss is here too. great! "
0,"Ok, now! Ol girl's hair is almost down 2 her butt &amp; its just blow dryed!! Maan, it's gonna take 4eva 2 press! Shoulda left work 15 early. "
4,"Heading in to see Charlie Farren (Farrenheit). "
0,"wondering if im even going to get to see niraj while he's here  i hate being so busy latel"
0,"YAY! I have the BRITNEY FOR THE RECORD dvd! and i am pissed off at the britney fan who scared her! he should die!  poor brit"
0,"Wish work would end so I can go swimming too.. "
4,"on my way to Bridge Street to buy my first pair of TOMS. "
0,"pretty depressed that i dont have my guy pants or comfy sweatshirt  going to bed. writing a 14 paragraph essay in the morning :b"
0,"have a 7 year old dog and a 14 week old puppy fighting for affection can be annoying till one of them gets bit in the shnozal not good "
0,"does not like to breath sodium hypochlorite... even if they call it bleach... with some pretty flower odor... my throat is again annoyed "
4,"hm a nice 3 hour nap! now i am refreshed and ready to conquer the couch for the next 4 hours "
0,"back in Varezhe- a bit lonely here in Twitter, there's no one i know! "
4,"@MissSididdy ur welcome...anytime "
0,"It's so hard to resist the temptation to shop. I don't like saving... too much of a challenge "
4,"Its soooo sunnyyyyy (Y)  Had an amazing day at the pub and club yesterday  I didn't burn :L"
4,"@DanWarp http://twitpic.com/4w9w6 - lol you sure love that sushi. you've tweeted many pictures of it. "
0,"@Fearnecotton lovin radio 1  I'm bored bivisin  biology gcse tomorrow!!!!  can you play paramore-brighter please?"
4,"Cool guys dont look at explosions. They just turn around and walk away.  Funny song."
0,"@jiimmyjazz is a bully "
4,"Loved Amy Phoeler's Speech on MTV awards for the WTF category "
0,"Being bored...Nothing on tv  And thinking of the great performance of Metallica at Pinkpop, exactly a year ago..."
4,"@bishop12 ok, true, but it was still awfully funny! "
4,"Logies is on tonight - time to relax and switch off the telly "
0,"@mumble_rosie woops  I still can't log in. I don't know what's wrong ."
4,"@aplusk that advert is hilarious but im now getting a strange impression of america "
0,"i have such great post ideas as i fall asleep but i forget to keep a notebook by my bed "
0,"@joeosterberg nice Guinness would good right about now!! still have hmm 8 hrs to go "
0,"@eruditebaboon @gnorthfield @jabberworks Oh good grief. Thats far  too depressing and true. I need a new career "
4,"@dymond_8 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
0,"Distracted tonight. Drove all the way to the 15 before we realized we forgot to go to the RV to pick up product for tomorrow's show. "
0,"Omg tinchy's proper taking the stryder  na na niiii"
0,"@delicateone  I cried at series 3, ep. 5. When they lost the baby. Made me very tearfull. "
4,"I'm available for any freelance projects as from today!  send me a DM or head on over to http://blog.callumchapman.com to email me!"
4,"Looking forward to Buffy s8 story arc &quot;Retreat&quot;.  Can't wait to see Oz again!"
0,"@babyshan87 i cant sleep ...........can u help me "
0,"@denae I'm not so allergic the more I'm around them, but I dont wanna have to leave it in a kennel for long trips  Couldn't bring it home"
4,"Received my visa and booked my aiticket.. flying to brisbane on 24th.. hope no one bashes me in the airport "
4,"http://bit.ly/G2u7n all about that beautiful wedding  I am so happy 2 call gazz my brother, now! lol he's loveley  &lt;3"
4,"sunday! come to thw carshow! RED will have a booth that sells the best skewers you'll ever put in your mouth. "
4,"i really want russell brand to follow me and email me "
4,"Welcome to Splendicity @TheMakeupGirl - Glad to have you on board! "
0,"i wonder why it never let's me upload a picture? i think twitter has ugly blocked me from putting a pic up "
4,"Follow me "
0,"have to start packing now, holidays are over "
0,"i miss the westcoast "
0,"i don't like talking on @reemerband's blogtv page. i'm the youngest on there  LMFAO."
4,"Set List (Rehearsal): Reasons, Feeling Good, Go the Distance, Heart to Heart, More Today than Yesterday, The Last Time. Goodnight y'all! "
4,"Spain would be the best place for Honeymoon..need to tell him that!  hint hint"
0,"@jamesscoville Have unprotected sex with Alex. My computer is being awfully slow. "
4,"mom's gonna shut off the interenet. oh well. we're awake now "
4,"@MAESTROKNOWS you make me sick [that's a good thing] - when i first seen your video when you went to vegas! .. i smiled!  ; you superdope"
0,"tonight I have to head back to California, away from the woman I love so much. Memories will have to tide me over until I'm here again "
0,"haha im at skool... first session "
0,"Run-less tonight! Bah, epic fail. Shall fold clothes &amp; pack for weekend getaway instead "
0,"@martha_s I think I may now weep for you, Martha.  That's just so sad! Looney Toons should be like a right of passage...just WOW."
0,"my brain is about to implode with everything thats going on inside it "
4,"@lasgalen I do - only takes 40 mins "
0,"@rhys_isterix [ I can't open any of your links...  ]"
4,"Fersen started @ 9:34 finished @ 10:31! &amp; then he stayed till 11:36!!! MDR "
0,"@MGiraudOfficial Hi Matt, I don't like it when fan bases argue  I much prefer to support my favorites! Have a great day!"
4,"@LittleLee oi! It's only cos i have the memory of a fish. . .  x"
0,"Gonna be up late tonight  tomorrow I have a test in one class and a big homework assignment due for my other class. Raaahhhhh."
0,"there are helicopters and cops everyone around my neighborhood. rumors of robberies lately...scary  "
0,"I wish I was in PIT right now for the parade. Guess ill have to settle for the wpxi feed "
0,"ran up &amp; down 3 miles of muddy hills safely yesterday morning, but stopped a soccer ball with my ankle last night &amp; it still hurts "
0,"Jst gt back frm da bball. hawkes lose    "
4,"@DonnieWahlberg I'm living every moment of Full Service with you online...  love you guys!"
0,"I wanna play my bass! But i can't  hands got cut off. Double  "
4,"Aww donna looks gorgeous, shes at prom now "
4,"@YaniraRios haha  really? get your girl on twitter too!"
0,"@lizziedr http://twitpic.com/6lppj - AWWW.  Get more pictures on my Multiply. I have a lot there. HAHAH."
4,"@romieh it is  will write something up about it later. on phn now tho"
4,"@Walk_In_The_Sun ahaha xD blesh ya. okies  YAY  *skips to cbox*"
4,"@nickjonas aahhh, I wanna go around europe "
0,"my last year as a teenager officially begins today...and i have to work  josh_rsnlmbrjk"
4,"Just got home from surprise birthday drinks for my mate dan which I organized! I wish someone would throw me a surprise party! "
0,"8th straight day of work, moving tomorrow. I just want to sleep "
4,"... ok im going to end this while i am ahead  #USAWANTSMCFLY #USAWANTSMCFLY #USAWANTSMCFLY #USAWANTSMCFLY #USAWANTSMCFLY #USAWANTSMCFLY"
0,"my boss kindly pulled some strings to get me some reference experience.  i start in a half hour.  kinda nervous.  okay really nervous.  "
0,"@Mikemurry1 I can't sleep cus I keep tossin and turning alot "
4,"someone (cough @hammbh cough) was stalking me today at the gas station... haha funny seeing youuu "
4,"@VivWestlake  Bear us in mind if you do visit the #LakeDistrict "
4,"Packing up all my stuff to go home while my hair colour develops  can't wait to get out of this shitty house!"
0,"ANYWAYSZ..iM t0RN! AMbERgER WASZ MY PASt i WASZ HAPPY tHEN.Nd bEf0RE i C0UlD SigH Wit REliEf it ENdEd Nd f0R tHE l0NgESt i DiDNt KN0 WhY "
4,"Thank you @AllEyezOnMe91 "
4,"Partner sold her half of the business, I have a new partner "
4,"@alittlebit Good morrrning Miss Hunt. Is it double English today? My favourite (apart from lunch break) "
4,"Randomization of thoughts...                           ...can lead to madness or creativity! "
0,"the longhorns lost  congrats to LSU! on a good note....USA beat No.1 Spain!!! i cant believe it. going to bed twitters! hollaaaa!!"
0,"didn't win once on the glamour comp "
0,"frustrated at how long it takes bbc iplayer takes to make todays F1 available to watch  WHY oh why ???????"
0,"@ChiChiGlacierz Hell yea but I live too far and everybodys drunk "
4,"GREATTTTT NIGHT !!!!!!!!!!!!!!!!!!!!!!!!!!!!!! GOIN TO BED NOW GOODNIGHTTTT !!!!!!!!!!!!!!!! "
4,"oops - should mention - I added that little bitty-bit about the baby creme   #ff"
0,"started eclipse. badly addicted. i need help "
0,"@keb578 had a great time at the concert!  I can't believe we don't have another one to look forward to "
0,"Same here bc i slept to late sunday "
4,"Is not ready to Australia yet. Actually she doesn't like packing. "
4,"@sivan_yaish Good morning "
0,"@jay_so_wavy Awww I love those... the sweet corn tamale cakes r better tho my #weakness "
0,"Ugh, tired. Cell is almost dead. No one to talk to. "
4,"cynthia and jenny are spamming my twitter! haha "
4,"I'm out for a while,  Peace ou Homedawgs"
0,"I just broke my favorite cup/mug/glass/awesome device to bring beverage to my face: http://bit.ly/u3QgV "
0,"Not much progress this weekend..... "
4,"@chantelleaustin np! let me know if you need help with anything "
0,"perfect timing! It started raining when I started my Bimmer. That's gonna be a &quot;wet race&quot; tomorrow at Nrburgring "
4,"Still ended up without my shoes last night. "
4,"Tempted to put in Order of the Phoenix, but it's late and we have a wedding to go to tomorrow "
4,"is Getting Ready For Oldskool Night In The Castle Tonight! "
4,"@dianabanana8 thanks hun!! I hope so "
0,"Jack is really sick and Penny and I are sad and concerned for him.  We are waiting for Marsh and Jan to get back from moving Jan out."
0,"I thought I didn't miss someone but I do. So much "
4,"@crimsonivy I recommend checking out some Etsy folks on here. They're all over the world, and it's all hand-made.  Etsy.com for info."
0,"wish that my fav mom n pops place still made those awesome strawberry pancakes. they traded good food for good decor. "
4,"omg miley come sto germany  but i dont live in munich -.-"
0,"@LaurieInQueens I'm one Dem who'll NEVER apologize to any Con. But sadly I'm not on TV and an expat. "
4,"@Costus re coffee that is a big call - i like milk'd in north perth. If i'm in the city though it's velvet all the way "
4,"If I smile at you will you follow me please lol "
0,"I miss my earring stuff  I hate dirty nasty thieves! Don't they know that I'm poor?! FTW!"
0,"@xJessicaaax Sorry no can do   your little Nephew will have to go to the signings instead - keep posted for news it will be fun"
4,"@Joygunz will look into it... sorry for the late response, crazy days "
0,"ok, stopped booze, still have h/a, though slightly smaller than this mornin' at 12:00. DONT drink day after drinkin, does not help "
4,"@LondonMonet now u of all people should kno better. As much as I love Layla her screaming at me is NOT good alarm. "
0,"Going to my last dinner in montreal... Its been fun... Sad that I'm leaving tomorrow am... Very early am... "
4,"has decided to give math another try "
0,"watching Family Matters... Steve always says the saddest things... "
4,"@abby105 Hahaha..I will try again. "
4,"@Alexisnotroll keep it going Alex! "
4,"@erguncaner Not sure how long you will be in town Ergun, but my mom (kind of high up at KK) said to come on in for a tour and free donuts "
4,"@prettylaurie Thanks, babe! Hey it's been a minute! Hope you're doing well. "
0,"@pinguisavis Lol that's true, except there's no mobile version of flash for the map.  http://myloc.me/2Rfd"
4,"Headed to LAX feeling like a complete zombie and praying for no flight delays -good morning "
0,"is seriously?? Can it just be Friday already??  So exhausted and just want to know!"
0,"@TheMightyFoz I sent a comment telling them to take it down "
4,"showing twitter to my family "
4,"@Angel42579 rt-Must Follow-- @Snu70 She's beautiful, smart and hilarious!! Makes me lol everytime I talk to her  - My heads big now! lol"
0,"Feeling sick today (but not in the head cold type of way) has pretty much assured that I'm not going to have a productive Saturday. "
4,"@nancypub happy anniversary then "
4,"@VIPQuality  yes indeed. that sounds very  much needed right about now "
0,"@KristinaMenzies getting rid of the fish tail pony-tail?! I will be sad "
0,"Struggling with my forward job plan - EDRMS bit is either one line or 3 and a half pages! Can't seem to get anywhere in the middle "
4,"@konkonkon http://bit.ly/A1n3M then go on ticket prices! "
4,"@jaonyourmind no problem "
4,"@SteveHealy hi Steve, thanks for following "
0,"Not wanting to get up early and go to court tomorrow  Hopefully this will be the last of it..."
0,"I soo wanna eat McDonalds Fries "
4,"Rainy Night and im Loving it! "
0,"@margherita03 awww.. wepa..  .. hmm.. what do u do? lolz"
0,"@andyclemmensen NOW IM HUNGRY! THANKS ALOT "
4,"is talking to his bestie Maicey "
4,"Oh, thanks Zeastreak !  Oh .. okayy lol, thanks. :]"
0,"standing in the longest line *ever* to wait to check my bag  *&lt;3.SA.&lt;3*"
4,"@AlishaLoves yehh i listened. i know the riff you mean. just dosent cut it for me  and WHAT THE HELL. imcomplaining ."
4,"I think it's going to be a pretty day "
0,"@danisays ha! I'm done and you aren't.  I feel weird without my bracelet "
4,"Wow. Bruno has um, well, you know. .. #mtv Eminem definitely knows! "
4,"Big Spider in son's room, thank God for big brothers and me not having to get it out  all is good"
4,"@sardun Least I didn't pay for it. Movies r so disappointing lately. TV is more entertaining. YT vids are the best. "
4,"@townii what's up townii!! imy!! "
0,"owww...my skin hurts real bad from the sunburn..can I not go to work? *puppyeyes* "
0,"@destinyawakened The idea of having baby scares me sometimes, you know. I mean, I want to have kids....but I don't want babies. "
4,"@Pam_jo *sigh* yes.....  you still at work? I'm watching lipstick jungle.."
0,"I CANT SLEEP. WAHHHHHH  *sigh*"
0,"so much goin on &amp; ths heat aint no joke. Once again Daddy...who made U MAD? it s 2 f'n hot. Plse heat luvrs tke me off ua invite list. "
0,"Yay! My permanent red snood is peeling. Now its a fluffy red and white snood "
0," im sad. so im going back to bed"
4,"@javaposse Awesome guys! Can't wait to listen to it  Btw. where is episode 255?"
0,"@taylorswift13 all i want to do is watch your dateline special and there is a telethon on in my city. i'm so upset. "
0,"Coffee is the Satan's piss, so why do I keep forcing myself to drink it?! "
0,"Is at work "
4,"Michi, you're amazing. "
0,"finally succumbed to that summer smiles cupcake "
0,"watching the hills finale... so sad... its laurens last episode  not going to be the same without her"
